Location,stress,X,Y,Z
59072  ,2.775e-02   ,305  ,1598.5  ,-73.5
59073  ,4.746e-02   ,305  ,1594.2  ,-73.5
59074  ,4.861e-02   ,305  ,1589.8  ,-73.5
59075  ,3.503e-02   ,305  ,1585.4  ,-73.5
59076  ,2.765e-02   ,305  ,1581  ,-73.5
59077  ,2.748e-02   ,305  ,1576.6  ,-73.5
59078  ,2.665e-02   ,305  ,1572.3  ,-73.5
59079  ,2.832e-02   ,305  ,1567.9  ,-73.5
59080  ,2.815e-02   ,305  ,1563.5  ,-73.5
59081  ,4.665e-02   ,305  ,1559.1  ,-73.5
59082  ,2.891e-02   ,305  ,1554.7  ,-73.5
59083  ,2.505e-02   ,305  ,1550.4  ,-73.5
59084  ,2.874e-02   ,305  ,1546  ,-73.5
59085  ,2.364e-02   ,305  ,1541.6  ,-73.5
59086  ,2.667e-02   ,305  ,1537.2  ,-73.5
59087  ,2.722e-02   ,305  ,1532.8  ,-73.5
59088  ,2.788e-02   ,305  ,1528.5  ,-73.5
59089  ,2.797e-02   ,305  ,1524.1  ,-73.5
59090  ,2.741e-02   ,305  ,1519.7  ,-73.5
59091  ,2.732e-02   ,305  ,1515.3  ,-73.5
59092  ,2.727e-02   ,305  ,1510.9  ,-73.5
59093  ,2.723e-02   ,305  ,1506.6  ,-73.5
59094  ,2.818e-02   ,305  ,1502.2  ,-73.5
59095  ,2.718e-02   ,305  ,1497.8  ,-73.5
59096  ,2.787e-02   ,305  ,1493.4  ,-73.5
59097  ,2.758e-02   ,305  ,1489.1  ,-73.5
59098  ,2.748e-02   ,305  ,1484.7  ,-73.5
59099  ,2.827e-02   ,305  ,1480.3  ,-73.5
59100  ,2.747e-02   ,305  ,1475.9  ,-73.5
59101  ,2.705e-02   ,305  ,1471.5  ,-73.5
59102  ,2.766e-02   ,305  ,1467.2  ,-73.5
59103  ,2.791e-02   ,305  ,1462.8  ,-73.5
59104  ,2.789e-02   ,305  ,1458.4  ,-73.5
59105  ,2.730e-02   ,305  ,1454  ,-73.5
59106  ,2.754e-02   ,305  ,1449.6  ,-73.5
59107  ,2.883e-02   ,305  ,1445.3  ,-73.5
59108  ,2.884e-02   ,305  ,1440.9  ,-73.5
59109  ,4.514e-02   ,305  ,1436.5  ,-73.5
59110  ,4.002e-02   ,305  ,1432.1  ,-73.5
59111  ,4.278e-02   ,305  ,1427.7  ,-73.5
59112  ,2.949e-02   ,305  ,1423.4  ,-73.5
59113  ,2.762e-02   ,305  ,1419  ,-73.5
59114  ,2.728e-02   ,305  ,1414.6  ,-73.5
59115  ,2.744e-02   ,305  ,1410.2  ,-73.5
59116  ,2.691e-02   ,305  ,1405.8  ,-73.5
59117  ,2.748e-02   ,305  ,1401.5  ,-73.5
59118  ,2.778e-02   ,305  ,1397.1  ,-73.5
59119  ,2.783e-02   ,305  ,1392.7  ,-73.5
59120  ,2.711e-02   ,305  ,1388.3  ,-73.5
59121  ,2.756e-02   ,305  ,1383.9  ,-73.5
59122  ,2.748e-02   ,305  ,1379.6  ,-73.5
59123  ,2.679e-02   ,305  ,1375.2  ,-73.5
59124  ,2.769e-02   ,305  ,1370.8  ,-73.5
59125  ,2.773e-02   ,305  ,1366.4  ,-73.5
59126  ,2.766e-02   ,305  ,1362  ,-73.5
59127  ,2.688e-02   ,305  ,1357.7  ,-73.5
59128  ,2.746e-02   ,305  ,1353.3  ,-73.5
59129  ,2.785e-02   ,305  ,1348.9  ,-73.5
59130  ,2.795e-02   ,305  ,1344.5  ,-73.5
59131  ,2.754e-02   ,305  ,1340.1  ,-73.5
59132  ,2.741e-02   ,305  ,1335.8  ,-73.5
59133  ,2.810e-02   ,305  ,1331.4  ,-73.5
59134  ,2.759e-02   ,305  ,1327  ,-73.5
59135  ,2.715e-02   ,305  ,1322.6  ,-73.5
59136  ,2.788e-02   ,305  ,1318.2  ,-73.5
59137  ,2.840e-02   ,305  ,1313.9  ,-73.5
59138  ,2.915e-02   ,305  ,1309.5  ,-73.5
59139  ,4.753e-02   ,305  ,1305.1  ,-73.5
59140  ,4.183e-02   ,305  ,1300.7  ,-73.5
59141  ,3.181e-02   ,305  ,1296.4  ,-73.5
59142  ,2.648e-02   ,305  ,1292  ,-73.5
59143  ,2.744e-02   ,305  ,1287.6  ,-73.5
59144  ,2.682e-02   ,305  ,1283.2  ,-73.5
59145  ,2.680e-02   ,305  ,1278.8  ,-73.5
59146  ,2.772e-02   ,305  ,1274.5  ,-73.5
59147  ,2.782e-02   ,305  ,1270.1  ,-73.5
59148  ,2.767e-02   ,305  ,1265.7  ,-73.5
59149  ,2.550e-02   ,305  ,1261.3  ,-73.5
59150  ,2.614e-02   ,305  ,1256.9  ,-73.5
59151  ,4.417e-02   ,305  ,1252.6  ,-73.5
59152  ,4.952e-02   ,305  ,1248.2  ,-73.5
59153  ,3.243e-02   ,305  ,1243.8  ,-73.5
59154  ,3.506e-02   ,305  ,1239.4  ,-73.5
59155  ,4.523e-02   ,305  ,1235  ,-73.5
59156  ,2.902e-02   ,305  ,1230.7  ,-73.5
59157  ,2.661e-02   ,305  ,1226.3  ,-73.5
59158  ,2.787e-02   ,305  ,1221.9  ,-73.5
59159  ,2.540e-02   ,305  ,1217.5  ,-73.5
59160  ,2.707e-02   ,305  ,1213.1  ,-73.5
59161  ,2.376e-02   ,305  ,1208.8  ,-73.5
59162  ,2.652e-02   ,305  ,1204.4  ,-73.5
59163  ,2.750e-02   ,305  ,1200  ,-73.5
59164  ,2.718e-02   ,305  ,1195.6  ,-73.5
59165  ,2.758e-02   ,305  ,1191.2  ,-73.5
59166  ,2.730e-02   ,305  ,1186.9  ,-73.5
59167  ,2.764e-02   ,305  ,1182.5  ,-73.5
59168  ,2.748e-02   ,305  ,1178.1  ,-73.5
59169  ,2.743e-02   ,305  ,1173.7  ,-73.5
59170  ,2.706e-02   ,305  ,1169.3  ,-73.5
59171  ,2.541e-02   ,305  ,1165  ,-73.5
59172  ,2.678e-02   ,305  ,1160.6  ,-73.5
59173  ,3.581e-02   ,305  ,1156.2  ,-73.5
59174  ,4.641e-02   ,305  ,1151.8  ,-73.5
59175  ,3.594e-02   ,305  ,1147.4  ,-73.5
59176  ,2.888e-02   ,305  ,1143.1  ,-73.5
59177  ,2.877e-02   ,305  ,1138.7  ,-73.5
59178  ,2.865e-02   ,305  ,1134.3  ,-73.5
59179  ,2.796e-02   ,305  ,1129.9  ,-73.5
59180  ,2.715e-02   ,305  ,1125.5  ,-73.5
59181  ,2.720e-02   ,305  ,1121.2  ,-73.5
59182  ,2.787e-02   ,305  ,1116.8  ,-73.5
59183  ,2.787e-02   ,305  ,1112.4  ,-73.5
59184  ,2.735e-02   ,305  ,1108  ,-73.5
59185  ,2.776e-02   ,305  ,1103.6  ,-73.5
59186  ,2.783e-02   ,305  ,1099.3  ,-73.5
59187  ,2.746e-02   ,305  ,1094.9  ,-73.5
59188  ,2.710e-02   ,305  ,1090.5  ,-73.5
59189  ,2.800e-02   ,305  ,1086.1  ,-73.5
59190  ,2.796e-02   ,305  ,1081.8  ,-73.5
59191  ,2.724e-02   ,305  ,1077.4  ,-73.5
59192  ,2.744e-02   ,305  ,1073  ,-73.5
59193  ,2.744e-02   ,305  ,1068.6  ,-73.5
59194  ,2.833e-02   ,305  ,1064.2  ,-73.5
59195  ,2.592e-02   ,305  ,1059.9  ,-73.5
59196  ,2.594e-02   ,305  ,1055.5  ,-73.5
59197  ,2.701e-02   ,305  ,1051.1  ,-73.5
59198  ,2.745e-02   ,305  ,1046.7  ,-73.5
59199  ,2.650e-02   ,305  ,1042.3  ,-73.5
59200  ,2.730e-02   ,305  ,1038  ,-73.5
59201  ,2.788e-02   ,305  ,1033.6  ,-73.5
59202  ,2.829e-02   ,305  ,1029.2  ,-73.5
59203  ,2.418e-02   ,305  ,1024.8  ,-73.5
59204  ,2.509e-02   ,305  ,1020.4  ,-73.5
59205  ,2.751e-02   ,305  ,1016.1  ,-73.5
59206  ,2.712e-02   ,305  ,1011.7  ,-73.5
59207  ,2.761e-02   ,305  ,1007.3  ,-73.5
59208  ,2.786e-02   ,305  ,1002.9  ,-73.5
59209  ,2.816e-02   ,305  ,998.54  ,-73.5
59210  ,3.661e-02   ,305  ,994.16  ,-73.5
59211  ,4.636e-02   ,305  ,989.78  ,-73.5
59212  ,4.286e-02   ,305  ,985.4  ,-73.5
59213  ,2.967e-02   ,305  ,981.02  ,-73.5
59214  ,2.770e-02   ,305  ,976.64  ,-73.5
59215  ,2.845e-02   ,305  ,972.26  ,-73.5
